Stock Name,Day,Action,Stock Price,Cash,Shares Held,Portfolio Value,Date,Actual Sell
GSAT,22,Buy,1.590000033378601,9953.509999871254,30,10001.210000872612,2023-11-30,True
GSAT,23,Buy,1.5499999523162842,9945.760000109673,35,10000.009998440742,2023-12-01,True
GSAT,24,Buy,1.5099999904632568,9938.210000157356,40,9998.609999775887,2023-12-04,True
GSAT,25,Buy,1.5099999904632568,9930.66000020504,45,9998.609999775887,2023-12-05,True
GSAT,26,Sell,1.4600000381469727,9930.66000020504,45,9996.360001921654,2023-12-06,True
GSAT,27,Sell,1.4700000286102295,9930.66000020504,45,9996.8100014925,2023-12-07,True
GSAT,28,Sell,1.4700000286102295,9932.13000023365,44,9996.8100014925,2023-12-08,True
GSAT,29,Sell,1.4199999570846558,9933.550000190735,43,9994.609998345375,2023-12-11,True
GSAT,30,Sell,1.4500000476837158,9935.000000238419,42,9995.900002241135,2023-12-12,True
GSAT,31,Hold,1.5399999618530273,9935.000000238419,42,9999.679998636246,2023-12-13,True
GSAT,32,Sell,1.590000033378601,9935.000000238419,42,10001.78000164032,2023-12-14,True
GSAT,33,Buy,1.6699999570846558,9933.330000281334,43,10005.139998435974,2023-12-15,True
GSAT,34,Buy,1.659999966621399,9931.670000314713,44,10004.709998846054,2023-12-18,True
GSAT,35,Buy,1.690000057220459,9929.980000257492,45,10006.030002832413,2023-12-19,True
GSAT,36,Buy,1.7100000381469727,9928.270000219345,46,10006.930001974106,2023-12-20,True
GSAT,37,Hold,1.8799999952316284,9928.270000219345,46,10014.75,2023-12-21,True
GSAT,38,Buy,1.9299999475479126,9926.340000271797,47,10017.049997806549,2023-12-22,True
GSAT,39,Buy,1.9600000381469727,9924.38000023365,48,10018.460002064705,2023-12-26,True
GSAT,40,Buy,1.9500000476837158,9922.430000185966,49,10017.980002522469,2023-12-27,True
GSAT,41,Buy,1.8899999856948853,9920.540000200272,50,10015.039999485016,2023-12-28,True
GSAT,42,Buy,1.940000057220459,9918.600000143051,51,10017.540003061295,2023-12-29,True
GSAT,43,Buy,1.8700000047683716,9909.25000011921,56,10013.970000386238,2024-01-02,True
